AUC,MAP,BRP_90,Dataset,Access_Level,Method,Layer
1.0,1.0,1.0,got_larger_than,Level 3,Linear Discriminant Analysis,14
0.8943946438098366,0.9189907889641794,0.7409200968523002,got_larger_than,Level 3,Principal Component Analysis,32
0.9002104720083955,0.9231917336533252,0.7772397094430993,got_larger_than,Level 3,Grouped PCA,32
1.0,1.0,1.0,got_larger_than,Level 3,Grouped Logistic Regression,14
0.998852,0.9988419657374922,0.998,imdb,Level 3,Logistic Regression,11
0.999936,0.9999351594310828,1.0,imdb,Level 3,Difference in Means,31
1.0,1.0,1.0,imdb,Level 3,Linear Artificial Tomography,16
1.0,1.0,1.0,imdb,Level 3,Contrast-Consistent Search,15
0.9678200000000001,0.9639728585053751,0.946,imdb,Level 3,Linear Discriminant Analysis,22
1.0,1.0,1.0,imdb,Level 3,Principal Component Analysis,16
1.0,1.0,1.0,imdb,Level 3,Grouped PCA,16
0.998932,0.9989541720069145,1.0,imdb,Level 3,Grouped Logistic Regression,13
1.0,1.0,1.0,amazon_polarity,Level 3,Logistic Regression,8
0.999988,0.9999880715705766,1.0,amazon_polarity,Level 3,Difference in Means,13
0.644436,0.6871322741086883,0.2,amazon_polarity,Level 3,Linear Artificial Tomography,10
0.48505600000000004,0.4576999913409608,0.0,amazon_polarity,Level 3,Contrast-Consistent Search,20
1.0,1.0,1.0,amazon_polarity,Level 3,Linear Discriminant Analysis,9
0.644112,0.687490061476772,0.202,amazon_polarity,Level 3,Principal Component Analysis,10
0.65066,0.6923746475272268,0.21,amazon_polarity,Level 3,Grouped PCA,10
1.0,1.0,1.0,amazon_polarity,Level 3,Grouped Logistic Regression,4
0.981024,0.9541644863826122,0.916,ag_news,Level 3,Logistic Regression,8
0.9395546666666666,0.8514822759935657,0.48,ag_news,Level 3,Difference in Means,12
0.519232,0.24456924590244827,0.0,ag_news,Level 3,Linear Artificial Tomography,6
0.657808,0.4847595107003809,0.072,ag_news,Level 3,Contrast-Consistent Search,13
0.8237386666666666,0.5788785333442844,0.004,ag_news,Level 3,Linear Discriminant Analysis,27
0.5380586666666667,0.25514721525160267,0.0,ag_news,Level 3,Principal Component Analysis,7
0.5380746666666667,0.25537532398186924,0.0,ag_news,Level 3,Grouped PCA,7
0.9806666666666667,0.9517841478936906,0.896,ag_news,Level 3,Grouped Logistic Regression,8
1.0,1.0,1.0,dbpedia_14,Level 3,Logistic Regression,8
0.9999551005747126,0.9994444444444444,1.0,dbpedia_14,Level 3,Difference in Means,15
0.8245180795019157,0.1696836157552341,0.0,dbpedia_14,Level 3,Linear Artificial Tomography,23
0.8572647270114943,0.8581800302334005,0.8472222222222222,dbpedia_14,Level 3,Contrast-Consistent Search,13
1.0,1.0,1.0,dbpedia_14,Level 3,Linear Discriminant Analysis,2
0.8152538314176245,0.1631643262869882,0.0,dbpedia_14,Level 3,Principal Component Analysis,24
0.8113924808429118,0.16038711992749438,0.0,dbpedia_14,Level 3,Grouped PCA,24
1.0,1.0,1.0,dbpedia_14,Level 3,Grouped Logistic Regression,9
0.8960236677136415,0.8924631334338686,0.5379061371841155,rte,Level 3,Logistic Regression,15
0.7674477707255405,0.7802981116105789,0.148014440433213,rte,Level 3,Difference in Means,25
0.5102764274263968,0.5489453906403181,0.0,rte,Level 3,Linear Artificial Tomography,17
0.5131175956939358,0.5359826254796964,0.0,rte,Level 3,Contrast-Consistent Search,17
0.5765225664351158,0.5546490733054851,0.0,rte,Level 3,Linear Discriminant Analysis,17
0.5104849535377758,0.5482546563961367,0.0,rte,Level 3,Principal Component Analysis,17
0.5108759399966114,0.5478694214902691,0.0,rte,Level 3,Grouped PCA,17
0.9002854201149499,0.9035241588232275,0.6714801444043321,rte,Level 3,Grouped Logistic Regression,24
0.46259999999999996,0.4803557146837074,0.0,copa,Level 3,Logistic Regression,1
0.4467,0.47299573651845267,0.0,copa,Level 3,Difference in Means,17
0.447,0.47416919721430995,0.0,copa,Level 3,Linear Artificial Tomography,1
0.4524,0.4764010771872651,0.0,copa,Level 3,Contrast-Consistent Search,1
0.4343,0.46386445138751575,0.0,copa,Level 3,Linear Discriminant Analysis,1
0.4527,0.47484786965596476,0.0,copa,Level 3,Principal Component Analysis,8
0.4527,0.47484786965596476,0.0,copa,Level 3,Grouped PCA,8
0.44909999999999994,0.47482551192268574,0.0,copa,Level 3,Grouped Logistic Regression,1
0.641092,0.6228626075760719,0.004,boolq,Level 3,Logistic Regression,4
0.6715439999999999,0.6687205480576257,0.004,boolq,Level 3,Difference in Means,17
0.6339359999999999,0.6361387383582948,0.002,boolq,Level 3,Linear Artificial Tomography,17
0.644752,0.6298500670904613,0.002,boolq,Level 3,Contrast-Consistent Search,15
0.551588,0.5435840536049908,0.0,boolq,Level 3,Linear Discriminant Analysis,32
0.634936,0.6367329747420862,0.002,boolq,Level 3,Principal Component Analysis,17
0.635736,0.6353996406199744,0.002,boolq,Level 3,Grouped PCA,17
0.7537440000000001,0.7379649888590811,0.044,boolq,Level 3,Grouped Logistic Regression,15
